Time,Open,High,Low,Latest,Change,%Change,Volume
"2025-09-23 08:00",6692.44,6699.52,6681.63,6681.92,-11.83,-0.18%,0
"2025-09-22 16:00",6693.83,6693.94,6693.75,6693.75,-0.01,0.00%,0
"2025-09-22 12:00",6672.38,6698.88,6672.22,6693.76,21.2,+0.32%,0
"2025-09-22 08:00",6654.28,6679.36,6648.07,6672.56,8.2,+0.12%,0
"2025-09-19 16:00",6663.05,6664.42,6663.05,6664.36,1.52,+0.02%,0
"2025-09-19 12:00",6641.98,6671.82,6641.64,6662.84,20.92,+0.31%,0
"2025-09-19 08:00",6647.11,6653.94,6630.31,6641.92,9.96,+0.15%,0
"2025-09-18 16:00",6631.82,6631.97,6631.82,6631.96,0.79,+0.01%,0
"2025-09-18 12:00",6634.2,6650.54,6627.92,6631.17,-3.13,-0.05%,0
"2025-09-18 08:00",6626.85,6656.8,6611.89,6634.3,33.95,+0.51%,0
"2025-09-17 16:00",6600.02,6600.43,6600.02,6600.35,-0.54,-0.01%,0
"2025-09-17 12:00",6600.47,6624.39,6551.15,6600.89,0.42,+0.01%,0
"2025-09-17 08:00",6604.87,6613.71,6596.63,6600.47,-6.29,-0.10%,0
"2025-09-16 16:00",6606.43,6606.95,6606.43,6606.76,0.12,0.00%,0
"2025-09-16 12:00",6604.92,6615.64,6603.14,6606.64,1.77,+0.03%,0
"2025-09-16 08:00",6624.13,6626.99,6600.11,6604.87,-10.41,-0.16%,0
"2025-09-15 16:00",6616.31,6616.31,6615.28,6615.28,-0.69,-0.01%,0
"2025-09-15 12:00",6614.73,6617.84,6602.07,6615.97,1.14,+0.02%,0
"2025-09-15 08:00",6603.49,6619.62,6602.49,6614.83,30.54,+0.46%,0
"2025-09-12 16:00",6584,6584.42,6584,6584.29,0.32,0.00%,0
"2025-09-12 12:00",6585.61,6600.21,6579.49,6583.97,-1.76,-0.03%,0
"2025-09-12 08:00",6590.66,6594.22,6580.48,6585.73,-1.74,-0.03%,0
"2025-09-11 16:00",6586.74,6587.47,6586.74,6587.47,0.77,+0.01%,0
"2025-09-11 12:00",6581.53,6592.89,6578.51,6586.7,5.16,+0.08%,0
"2025-09-11 08:00",6554.41,6586.75,6545.8,6581.54,49.5,+0.76%,0
"2025-09-10 16:00",6531.71,6532.32,6531.71,6532.04,0.14,0.00%,0
"2025-09-10 12:00",6543.18,6544.58,6516.34,6531.9,-11.32,-0.17%,0
"2025-09-10 08:00",6550.29,6555.97,6533.56,6543.22,30.61,+0.47%,0
"2025-09-09 16:00",6512.66,6512.67,6512.61,6512.61,0.21,0.00%,0
"2025-09-09 12:00",6493.29,6518.23,6492.36,6512.4,19.1,+0.29%,0
"2025-09-09 08:00",6503.33,6507.1,6483.08,6493.3,-1.85,-0.03%,0
"2025-09-08 16:00",6496.1,6496.1,6495.15,6495.15,-0.91,-0.01%,0
"2025-09-08 12:00",6504.34,6504.53,6483.29,6496.06,-8.15,-0.13%,0
"2025-09-08 08:00",6498.09,6508.67,6487.73,6504.21,22.71,+0.35%,0
"2025-09-05 16:00",6481.56,6481.79,6481.5,6481.5,-0.66,-0.01%,0
"2025-09-05 12:00",6467.5,6484.25,6457.25,6482.16,14.69,+0.23%,0
"2025-09-05 08:00",6529.08,6532.65,6443.98,6467.47,-34.61,-0.53%,0
"2025-09-04 16:00",6501.74,6502.12,6501.74,6502.08,0.58,+0.01%,0
"2025-09-04 12:00",6473.48,6502.54,6469.34,6501.5,27.93,+0.43%,0
"2025-09-04 08:00",6456.6,6476.75,6445.98,6473.57,25.31,+0.39%,0
"2025-09-03 16:00",6448.04,6448.29,6448,6448.26,0.45,+0.01%,0
"2025-09-03 12:00",6435.14,6447.81,6416.17,6447.81,12.6,+0.20%,0
"2025-09-03 08:00",6445.82,6453.67,6428.1,6435.21,19.67,+0.31%,0
"2025-09-02 16:00",6414.63,6415.55,6414.63,6415.54,0.59,+0.01%,0
"2025-09-02 12:00",6363.37,6416.54,6361.69,6414.95,51.7,+0.81%,0
"2025-09-02 08:00",6401.51,6412.01,6360.58,6363.25,-97.01,-1.50%,0
"2025-08-29 16:00",6460.82,6461.07,6460.26,6460.26,-1.56,-0.02%,0
"2025-08-29 12:00",6451.31,6463.88,6447.81,6461.82,10.52,+0.16%,0
"2025-08-29 08:00",6489.28,6491.76,6444.57,6451.3,-50.56,-0.78%,0
"2025-08-28 16:00",6501.02,6502.02,6501.02,6501.86,-0.45,-0.01%,0
"2025-08-28 12:00",6484.28,6508.23,6483.3,6502.31,17.91,+0.28%,0
"2025-08-28 08:00",6483.84,6495.44,6466.96,6484.4,3,+0.05%,0
"2025-08-27 16:00",6480.84,6481.4,6480.84,6481.4,0.55,+0.01%,0
"2025-08-27 12:00",6479.51,6487.06,6468.09,6480.85,1.38,+0.02%,0
"2025-08-27 08:00",6462.26,6480.69,6457.84,6479.47,13.53,+0.21%,0
"2025-08-26 16:00",6465.91,6465.94,6465.86,6465.94,0.24,0.00%,0
"2025-08-26 12:00",6441.32,6468.37,6438.32,6465.7,24.41,+0.38%,0
"2025-08-26 08:00",6435.49,6446.95,6429.21,6441.29,1.97,+0.03%,0
"2025-08-25 16:00",6438.85,6439.32,6438.85,6439.32,-0.13,0.00%,0
"2025-08-25 12:00",6464.22,6466.89,6438.06,6439.45,-24.7,-0.38%,0
"2025-08-25 08:00",6457.67,6464.94,6448.04,6464.15,-2.76,-0.04%,0
"2025-08-22 16:00",6466.55,6466.92,6466.55,6466.91,0.56,+0.01%,0
"2025-08-22 12:00",6467.88,6477.98,6457.16,6466.35,-1.26,-0.02%,0
"2025-08-22 08:00",6384.59,6478.89,6384.59,6467.61,97.44,+1.53%,0
"2025-08-21 16:00",6370.08,6370.19,6370.06,6370.17,-0.01,0.00%,0
"2025-08-21 12:00",6370.01,6379.03,6352.71,6370.18,0.14,0.00%,0
"2025-08-21 08:00",6380.83,6393.65,6357.79,6370.04,-25.74,-0.40%,0
"2025-08-20 16:00",6394.97,6395.8,6394.97,6395.78,0.9,+0.01%,0
"2025-08-20 12:00",6365.98,6405.1,6365.37,6394.88,28.96,+0.45%,0
"2025-08-20 08:00",6406.62,6408.4,6343.86,6365.92,-45.45,-0.71%,0
