Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
2025-04-28,41282,41282,41282,41282,114,+0.28%,0,1
2025-04-25,41168,41168,41168,41168,-8.,-0.02%,0,1
2025-04-24,41176,41176,41176,41176,487,+1.20%,0,1
2025-04-23,40689,40689,40689,40689,418,+1.04%,0,1
2025-04-22,40271,40271,40271,40271,1046,+2.67%,0,1
2025-04-21,39225,39225,39225,39225,-1028.,-2.55%,0,1
2025-04-17,40253,40253,40253,40253,-537.,-1.32%,0,1
2025-04-16,40790,40790,40790,40790,-739.,-1.78%,0,1
2025-04-15,41529,41529,41529,41529,-195.,-0.47%,0,1
2025-04-14,41888,41888,41724,41724,342,+0.83%,1,1
2025-04-11,41382,41382,41382,41382,602,+1.48%,0,1
2025-04-10,40780,40780,40780,40780,-1039.,-2.48%,0,1
2025-04-09,41819,41819,41819,41819,2955,+7.60%,0,1
2025-04-08,38864,38864,38864,38864,-303.,-0.77%,0,1
2025-04-07,39167,39167,39167,39167,-388.,-0.98%,0,1
2025-04-04,39555,39555,39555,39555,-2288.,-5.47%,0,1
2025-04-03,41843,41843,41843,41843,-1765.,-4.05%,1,1
2025-04-02,43396,43608,43333,43608,261,+0.60%,1,1
2025-04-01,43347,43347,43347,43347,-11.,-0.03%,0,0
2025-03-31,43358,43358,43358,43358,414,+0.96%,0,0
2025-03-28,42944,42944,42944,42944,-750.,-1.72%,0,0
2025-03-27,43694,43694,43694,43694,-157.,-0.36%,0,0
2025-03-26,43851,43851,43851,43851,-170.,-0.39%,0,0
2025-03-25,44021,44021,44021,44021,12,+0.03%,0,0
2025-03-24,44009,44009,44009,44009,579,+1.33%,0,0
2025-03-21,43430,43430,43430,43430,173,+0.40%,0,0
"Downloaded from Barchart.com as of 03-05-2026 05:59am CST"
