Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
2025-09-24,25103.25,25160.5,24877.75,24988,-88.25,-0.35%,412,493
2025-09-23,25240,25273.5,25031.5,25076.25,-177.25,-0.70%,397,467
2025-09-22,25094.5,25275.5,24993.25,25253.5,145.25,+0.58%,195,451
2025-09-19,24955,25125.25,24897,25108.25,162,+0.65%,337,433
2025-09-18,24738.5,25050,24738.5,24946.25,244.5,+0.99%,220,342
2025-09-17,24784,24786.75,24488,24701.75,-60.25,-0.24%,138,278
2025-09-16,24773,24880.5,24741.75,24762,-26.25,-0.11%,63,260
2025-09-15,24585,24793,24557,24788.25,202,+0.82%,109,231
2025-09-12,24506.75,24621.25,24442.75,24586.25,100.25,+0.41%,15,163
2025-09-11,24354.25,24504.5,24339.5,24486,139.5,+0.57%,57,168
2025-09-10,24369.25,24484.5,24259.25,24346.5,2.75,+0.01%,24,133
2025-09-09,24268.25,24363.25,24202.25,24343.75,75,+0.31%,16,131
2025-09-08,24296,24343.25,24123.75,24268.75,117.5,+0.49%,24,131
2025-09-05,24198.75,24361.75,23976.5,24151.25,11.25,+0.05%,37,135
2025-09-04,24065.5,24159.5,23890.5,24140,221.75,+0.93%,5,128
2025-09-03,23865.5,23987,23803.5,23918.25,175.75,+0.74%,9,128
2025-09-02,24020,24020.25,23502.75,23742.5,-189.5,-0.79%,17,124
2025-08-29,23940,23940,23873,23932,-311.75,-1.29%,3,121
2025-08-28,24060,24261.5,23970,24243.75,143.25,+0.59%,11,121
2025-08-27,24090,24147.25,23923,24100.5,35.25,+0.15%,17,124
2025-08-26,23975,24075,23855.25,24065.25,93.25,+0.39%,2,122
2025-08-25,23937,24075,23927.75,23972,-71.5,-0.30%,1,122
2025-08-22,24000,24107.25,23561,24043.5,349.25,+1.47%,20,121
2025-08-21,23694.25,23826.5,23602,23694.25,-105.5,-0.44%,0,121
2025-08-20,23900,23900,23519.75,23799.75,-145.25,-0.61%,18,121
2025-08-19,23945,24307,23913.5,23945,-331.75,-1.37%,0,110
2025-08-18,24227,24343.5,24214,24276.75,-6.25,-0.03%,10,110
2025-08-15,24260,24423,24227.5,24283,-129.75,-0.53%,7,115
2025-08-14,24305,24466.5,24281.75,24412.75,-13.75,-0.06%,5,116
2025-08-13,24495,24528.75,24374,24426.5,8.5,+0.03%,2,113
2025-08-12,24111.75,24418,24087.5,24418,305.5,+1.27%,10,112
2025-08-11,24112.5,24264.5,24081,24112.5,-76.5,-0.32%,2,109
2025-08-08,24185,24219.25,24185,24189,231,+0.96%,1,108
2025-08-07,24100,24129,23819.25,23958,65,+0.27%,3,108
2025-08-06,23670,23897.25,23537.75,23893,291,+1.23%,5,106
2025-08-05,23671.75,23853.5,23580.5,23602,-160.25,-0.67%,9,108
2025-08-04,23580.5,23796.25,23311.25,23762.25,409.25,+1.75%,11,106
2025-08-01,23618,23639,23269.5,23353,-500.25,-2.10%,121,105
2025-07-31,24254,24322.5,23799.25,23853.25,-107.75,-0.45%,20,80
2025-07-30,23972.75,24155.5,23858.75,23961,29.5,+0.12%,15,74
2025-07-29,24067,24124.25,23912.5,23931.5,-39.25,-0.16%,8,77
2025-07-28,23976.5,24056,23928,23970.75,71,+0.30%,1,77
2025-07-25,23899.75,23944.25,23819.5,23899.75,46.25,+0.19%,4,76
2025-07-24,23840.5,23890.25,23784.75,23853.5,68,+0.29%,3,75
2025-07-23,23752.5,23877.5,23634.25,23785.5,85,+0.36%,12,76
2025-07-22,23700.5,23825,23595,23700.5,-115.5,-0.48%,0,74
2025-07-21,23886.5,23894.5,23694,23816,118.5,+0.50%,6,74
2025-07-18,23783.5,23783.5,23648.25,23697.5,-26.5,-0.11%,7,69
