Date,Type,Entry Time,Entry Price,Exit Price,Stop Loss,Take Profit,PnL,Reason,Capital,Cumulative Equity
2025-06-13,Long,2025-06-13 14:15:00,6004.23,5990.4157700000005,5990.4157700000005,6045.43,-999.9999999999999,Stop Loss,104647.99974069803,104647.99974069803
2025-06-17,Long,2025-06-17 11:30:00,6018.68,6009.68132,6009.68132,6050.83,-1000.0,Stop Loss,103647.99974069803,103647.99974069803
2025-06-20,Short,2025-06-20 10:30:00,5994.65,5971.89,6005.66465,5971.89,2066.3389213455857,Take Profit,105714.3386620436,105714.3386620436
2025-06-23,Short,2025-06-23 12:30:00,5982.61,5952.56,5994.02261,5952.56,2633.052386789564,Take Profit,108347.39104883317,108347.39104883317
2025-06-24,Short,2025-06-24 16:45:00,6092.18,6092.18,6104.15218,6024.93,-0.0,End of Day,108347.39104883317,108347.39104883317
2025-06-30,Short,2025-06-30 15:00:00,6187.97,6195.37797,6195.37797,6172.74,-1000.0,Stop Loss,107347.39104883317,107347.39104883317
2025-07-07,Long,2025-07-07 16:45:00,6229.98,6229.98,6214.18002,6284.65,0.0,End of Day,107347.39104883317,107347.39104883317
2025-07-10,Short,2025-07-10 16:45:00,6283.89,6280.46,6293.513889999999,6262.71,356.40473862447203,End of Day,107703.79578745765,107703.79578745765
2025-07-11,Long,2025-07-11 16:30:00,6261.97,6259.75,6248.6180300000005,6290.22,-166.26759946287348,End of Day,107537.52818799479,107537.52818799479
2025-07-21,Short,2025-07-21 16:30:00,6329.58,6305.6,6339.78958,6296.35,2348.7743864096456,End of Day,109886.30257440443,109886.30257440443
2025-07-29,Long,2025-07-29 13:30:00,6385.01,6372.21499,6372.21499,6401.07,-999.9999999999999,Stop Loss,108886.30257440443,108886.30257440443
2025-08-07,Short,2025-08-07 11:15:00,6359.51,6337.83,6369.61951,6337.83,2144.5154117261673,Take Profit,111030.8179861306,111030.8179861306
2025-08-19,Long,2025-08-19 16:45:00,6409.01,6411.37,6400.05099,6450.22,263.4219629177268,End of Day,111294.23994904832,111294.23994904832
2025-08-20,Long,2025-08-20 16:45:00,6377.9,6395.78,6357.062099999999,6416.23,858.0519150202144,End of Day,112152.29186406854,112152.29186406854
2025-08-25,Long,2025-08-25 15:15:00,6463.67,6452.20633,6452.20633,6478.89,-1000.0000000000001,Stop Loss,111152.29186406854,111152.29186406854
2025-08-27,Short,2025-08-27 16:30:00,6480.22,6481.4,6490.14022,6465.86,-118.94897492186513,End of Day,111033.34288914668,111033.34288914668
2025-09-02,Long,2025-09-02 16:45:00,6378.56,6415.54,6369.34144,6460.3,4011.4725076366103,End of Day,115044.81539678329,115044.81539678329
2025-09-03,Short,2025-09-03 16:45:00,6439.44,6448.26,6453.7094400000005,6414.63,-618.1041442411221,End of Day,114426.71125254217,114426.71125254217
2025-09-08,Short,2025-09-08 16:45:00,6489.55,6495.15,6497.55955,6453.58,-699.1653713379179,End of Day,113727.54588120425,113727.54588120425
2025-09-11,Short,2025-09-11 15:30:00,6581.17,6589.881170000001,6589.881170000001,6516.34,-1000.0,Stop Loss,112727.54588120425,112727.54588120425
2025-09-23,Long,2025-09-23 16:45:00,6656.92,6656.92,6648.93308,6698.88,0.0,End of Day,112727.54588120425,112727.54588120425
2025-09-24,Long,2025-09-24 16:45:00,6635.65,6637.97,6625.0143499999995,6659.57,218.1342936257381,End of Day,112945.68017482999,112945.68017482999
2025-09-30,Long,2025-09-30 12:15:00,6652.75,6663.31,6644.67725,6663.31,1308.1044253816913,Take Profit,114253.78460021169,114253.78460021169
2025-10-01,Short,2025-10-01 16:45:00,6711.2,6711.2,6719.5112,6687.65,-0.0,End of Day,114253.78460021169,114253.78460021169
2025-10-06,Short,2025-10-06 16:45:00,6742.79,6740.28,6750.31279,6714.05,333.6528070038141,End of Day,114587.4374072155,114587.4374072155
2025-10-09,Long,2025-10-09 11:30:00,6739.29,6729.170709999999,6729.170709999999,6755.64,-1000.0000000000001,Stop Loss,113587.4374072155,113587.4374072155
2025-10-09,Long,2025-10-09 12:45:00,6736.01,6725.25399,6725.25399,6755.64,-1000.0000000000001,Stop Loss,112587.4374072155,112587.4374072155
2025-10-09,Long,2025-10-09 16:45:00,6733.09,6735.11,6721.616910000001,6755.64,176.06416405690314,End of Day,112763.50157127241,112763.50157127241
2025-10-14,Long,2025-10-14 12:30:00,6621.04,6668.68,6584.58896,6668.68,1306.9585943226978,Take Profit,114070.46016559511,114070.46016559511
2025-10-16,Long,2025-10-16 15:15:00,6626.91,6608.17309,6608.17309,6686.17,-1000.0,Stop Loss,113070.46016559511,113070.46016559511
2025-10-16,Long,2025-10-16 16:45:00,6629.07,6629.07,6610.61093,6686.17,0.0,End of Day,113070.46016559511,113070.46016559511
2025-10-20,Short,2025-10-20 16:45:00,6738.99,6735.13,6746.48899,6662.44,514.7359844458583,End of Day,113585.19615004097,113585.19615004097
2025-10-22,Long,2025-10-22 16:30:00,6696.48,6699.4,6680.78352,6745.87,186.02896955241846,End of Day,113771.22511959338,113771.22511959338
